                           1                            2                            3                            4                            5                            6                            7                            8 
              version_number             initial_don_mass             initial_acc_mass          initial_period_days                     compiler                        build             MESA_SDK_version                         date 
                       11701      3.1616784592325363E+001      1.1065874607313877E+001      1.0000000000000000E+002                   "gfortran"                      "8.3.0"      "x86_64-linux-20190503"                   "20210303" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31                               32                               33                               34                               35                               36                               37                               38                               39                               40                               41                               42                               43                               44                               45                               46                               47                               48                               49                               50                               51 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                    star_1_radius                    star_2_radius                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2                    xfer_fraction                      lg_mdot_edd                     mdot_edd_eta          lg_accretion_luminosity                          bh_spin                            J_orb                         J_spin_1                         J_spin_2                          J_total                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                   accretion_mode                acc_am_div_kep_am                      lg_t_sync_1                      lg_t_sync_2                P_rot_div_P_orb_1                P_rot_div_P_orb_2                      donor_index                 point_mass_index                      trap_radius                       acc_radius                     t_sync_rad_1                    t_sync_conv_1                     t_sync_rad_2                    t_sync_conv_2 
                               1          1.7791220780726309E+001          1.0000001713536658E+002          3.1676508604958434E+002          4.1565635787873866E+001          1.1875894707942244E+002          8.0544702703963988E+000          4.5895582233703891E+000          1.4943053117401013E+002          9.2719760946104230E+001         -9.4609889821634197E-001         -9.5050075435334458E-001          3.1616781033530707E+001          1.1065874509192282E+001         -9.8999999999999986E+001         -6.6989028203805647E+000         -8.2584411538392857E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6989028203805647E+000         -8.2584411538392857E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          5.7632120219724887E+054          1.2082277653996393E+051          1.1845377398972718E+050          5.7645387035118777E+054         -3.6696911724195163E+038          0.0000000000000000E+000         -2.2532448882762251E+032         -3.6696889191746280E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                2          1.0000000000000000E+000          1.3508283622043178E+001          1.3270967615926635E+001          1.0199173073012235E+000          1.0034009166163984E+000                                1                                0          0.0000000000000000E+000          0.0000000000000000E+000          1.0171737828458668E+021          1.4638223767172924E+021          7.0229370099456016E+021          5.8895098410927692E+020 
                               2          3.9140685717597883E+001          1.0000003769627727E+002          3.1676511861446568E+002          4.1565635345607262E+001          1.1875893103959491E+002          8.0542953555393400E+000          4.5895537661056629E+000          1.4943054303925430E+002          9.2719773500371829E+001         -9.4610007303912746E-001         -9.5050080912797685E-001          3.1616776763302337E+001          1.1065874391448856E+001         -9.8999999999999986E+001         -6.6989358934486516E+000         -8.2584503310071291E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6989358934486516E+000         -8.2584503310071291E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          5.7632117747434813E+054          1.2082264965625235E+051          1.1845376244318632E+050          5.7645384550024871E+054         -3.6694493265175024E+038          0.0000000000000000E+000         -2.2532434755717411E+032         -3.6694470731500487E+038         -1.2397845661136754E+028          0.0000000000000000E+000          0.0000000000000000E+000                                2          1.0000000000000000E+000          1.3191190236525266E+001          1.2702916928345429E+001          1.0244492240051783E+000          1.0054246164523524E+000                                1                                0          0.0000000000000000E+000          0.0000000000000000E+000          8.3143587867211229E+020          4.9011926369817310E+020          5.5017995170595408E+021          1.5923130858954162E+020 
                               3          6.4760043641843765E+001          1.0000006237155741E+002          3.1676515769578305E+002          4.1565634814886643E+001          1.1875891179005583E+002          8.0539719342970635E+000          4.5895464406344821E+000          1.4943055727876504E+002          9.2719788566863940E+001         -9.4610224253348496E-001         -9.5050089617789868E-001          3.1616771638563435E+001          1.1065874250156559E+001         -9.8999999999999986E+001         -6.6988964978712300E+000         -8.2584497527012584E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6988964978712300E+000         -8.2584497527012584E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          5.7632114780465822E+054          1.2082249806265311E+051          1.1845374861525870E+050          5.7645381567758241E+054         -3.6697225514666575E+038          0.0000000000000000E+000         -2.2532417803452186E+032         -3.6697202983318926E+038          1.0701581892487856E+028          0.0000000000000000E+000          0.0000000000000000E+000                                2          1.0000000000000000E+000          1.3191057703905940E+001          1.2702915594294037E+001          1.0241629769606153E+000          1.0065645313077223E+000                                1                                0          0.0000000000000000E+000          0.0000000000000000E+000          8.3486891010667892E+020          4.8996971798170776E+020          5.5060864953824324E+021          1.5923081946883762E+020 
                               4          9.5503273150938824E+001          1.0000009198817638E+002          3.1676520460330818E+002          4.1565634178013859E+001          1.1875888868559011E+002          8.0534226515620766E+000          4.5895346905419423E+000          1.4943057436968439E+002          9.2719806650589177E+001         -9.4610592453698072E-001         -9.5050103255890717E-001          3.1616765487540562E+001          1.1065874080603644E+001         -9.8999999999999986E+001         -6.6988021455301014E+000         -8.2584442215458029E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6988021455301014E+000         -8.2584442215458029E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          5.7632111219462521E+054          1.2082231607461466E+051          1.1845373204038630E+050          5.7645377988390384E+054         -3.6703827331488110E+038          0.0000000000000000E+000         -2.2532397458016753E+032         -3.6703804798050961E+038         -1.0396946809334191E+028          0.0000000000000000E+000          0.0000000000000000E+000                                2          1.0000000000000000E+000          1.3190944103711875E+001          1.2702913522933269E+001          1.0206088187334228E+000          1.0070664712977029E+000                                1                                0          0.0000000000000000E+000          0.0000000000000000E+000          8.4064105148462675E+020          4.8984157134777870E+020          5.5187625555406398E+021          1.5923006002173497E+020 
                               5          1.3239514856185289E+002          1.0000012754155276E+002          3.1676526091360552E+002          4.1565633413744941E+001          1.1875886094949794E+002          8.0525387529146997E+000          4.5895163293398111E+000          1.4943059488629120E+002          9.2719828359470327E+001         -9.4611184704817475E-001         -9.5050124217716969E-001          3.1616758103455595E+001          1.1065873877134392E+001         -9.8999999999999986E+001         -6.6986340478846786E+000         -8.2584319452827639E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6986340478846786E+000         -8.2584319452827639E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          5.7632106944884918E+054          1.2082209687324036E+051          1.1845371216000552E+050          5.7645373691693842E+054         -3.6715625945130287E+038          0.0000000000000000E+000         -2.2532373036878842E+032         -3.6715603412119866E+038         -6.3738027162200112E+027          0.0000000000000000E+000          0.0000000000000000E+000                                2          1.0000000000000000E+000          1.3190874032016801E+001          1.2702910619009307E+001          1.0171215447795852E+000          1.0074325553766761E+000                                1                                0          0.0000000000000000E+000          0.0000000000000000E+000          8.5049273441037307E+020          4.8976254372532820E+020          5.5233329035205820E+021          1.5922899532839934E+020 
                               6          1.7666539905494977E+002          1.0000017023131562E+002          3.1676532852667077E+002          4.1565632496576242E+001          1.1875882764564263E+002          8.0511684557566685E+000          4.5894881908196723E+000          1.4943061952058741E+002          9.2719854426223108E+001         -9.4612102605485460E-001         -9.5050155957188742E-001          3.1616749237083997E+001          1.1065873632959015E+001         -9.8999999999999986E+001         -6.6983660503203799E+000         -8.2584101116420925E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6983660503203799E+000         -8.2584101116420925E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          5.7632101812758081E+054          1.2082183282399796E+051          1.1845368831119930E+050          5.7645368532923597E+054         -3.6734477397895311E+038          0.0000000000000000E+000         -2.2532343718143012E+032         -3.6734454866540847E+038          9.8925299119276048E+027          0.0000000000000000E+000          0.0000000000000000E+000                                2          1.0000000000000000E+000          1.3190826277372224E+001          1.2702906665024420E+001          1.0115146343921499E+000          1.0076519182337944E+000                                1                                0          0.0000000000000000E+000          0.0000000000000000E+000          8.5997926331085934E+020          4.8970869282153444E+020          5.5364536584267303E+021          1.5922754565265762E+020 
                               7          2.2978969964666604E+002          1.0000022150646855E+002          3.1676540973746205E+002          4.1565631395882519E+001          1.1875878764310932E+002          8.0490998582293880E+000          4.5894457422138384E+000          1.4943064910826027E+002          9.2719885736018952E+001         -9.4613487991745293E-001         -9.5050203410215195E-001          3.1616738587346163E+001          1.1065873339924224E+001         -9.8999999999999986E+001         -6.6979543087759978E+000         -8.2583740379137591E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6979543087759978E+000         -8.2583740379137591E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          5.7632095649340545E+054          1.2082151401425367E+051          1.1845365969683816E+050          5.7645362337338937E+054         -3.6763498114707338E+038          0.0000000000000000E+000         -2.2532308510515606E+032         -3.6763475582500082E+038          1.0125693106147558E+027          0.0000000000000000E+000          0.0000000000000000E+000                                2          1.0000000000000000E+000          1.3190977006888684E+001          1.2702901353921686E+001          1.0071345220074202E+000          1.0079757687363429E+000                                1                                0          0.0000000000000000E+000          0.0000000000000000E+000          8.7204736937580377E+020          4.8987868430928485E+020          5.5583063312579271E+021          1.5922559842855649E+020 
                               8          2.9353886035672554E+002          1.0000028312071719E+002          3.1676550732352780E+002          4.1565630074877234E+001          1.1875873957289532E+002          8.0460429995216689E+000          4.5893824905587977E+000          1.4943068466047319E+002          9.2719923360385906E+001         -9.4615534943306079E-001         -9.5050273636745064E-001          3.1616725789777110E+001          1.1065872988236420E+001         -9.8999999999999986E+001         -6.6973469896636244E+000         -8.2583171634269270E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6973469896636244E+000         -8.2583171634269270E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          5.7632088244607159E+054          1.2082112943759668E+051          1.1845362536677672E+050          5.7645354893804583E+054         -3.6806406530473089E+038          0.0000000000000000E+000         -2.2532266215857107E+032         -3.6806383998447534E+038          2.4065646677412376E+027          0.0000000000000000E+000          0.0000000000000000E+000                                2          1.0000000000000000E+000          1.3195189077322549E+001          1.2702894303596103E+001          1.0043416927154869E+000          1.0077599584554386E+000                                1                                0          0.0000000000000000E+000          0.0000000000000000E+000          8.9207271573466762E+020          4.9465296109806957E+020          5.5849660378546763E+021          1.5922301358521906E+020 
                               9          3.7003785320879695E+002          1.0000035720368913E+002          3.1676562465780376E+002          4.1565628489350765E+001          1.1875868177208334E+002          8.0416048385131180E+000          4.5892890862283240E+000          1.4943072740471712E+002          9.2719968600907052E+001         -9.4618506529294144E-001         -9.5050376789942703E-001          3.1616710401663955E+001          1.1065872566125757E+001         -9.8999999999999986E+001         -6.6964703463150572E+000         -8.2582293945094989E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6964703463150572E+000         -8.2582293945094989E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          5.7632079343929047E+054          1.2082066607869841E+051          1.1845358415468005E+050          5.7645345946378465E+054         -3.6868531680343199E+038          0.0000000000000000E+000         -2.2532215382407150E+032         -3.6868509148716499E+038          5.8868570087249634E+027          0.0000000000000000E+000          0.0000000000000000E+000                                2          1.0000000000000000E+000          1.3195613685324430E+001          1.2702884989447004E+001          1.0006171455926360E+000          1.0076287333052916E+000                                1                                0          0.0000000000000000E+000          0.0000000000000000E+000          9.1885870071888019E+020          4.9513681784084542E+020          5.6592296885059500E+021          1.5921959882623064E+020 
